Episode,Total Reward,Epsilon,Steps,Success,Exploration,Exploitation,Max Q-value
98,30,0.6149486215357263,47,1,31,16,62.76109342396778
99,-284,0.6118738784280476,300,0,200,100,59.99999999998532
100,-76,0.6088145090359074,153,1,89,64,59.99999999999266
101,-57,0.6057704364907278,134,1,73,61,59.999999999996334
102,29,0.6027415843082742,48,1,30,18,59.99999999999817
103,-96,0.5997278763867329,173,1,106,67,59.99999999999908
104,-77,0.5967292370047992,154,1,90,64,59.999999999999545
105,-20,0.5937455908197752,97,1,54,43,59.99999999999977
106,-11,0.5907768628656763,88,1,45,43,59.999999999999886
107,12,0.5878229785513479,65,1,36,29,59.99999999999994
108,46,0.5848838636585911,31,1,22,9,59.99999999999997
109,-65,0.5819594443402982,142,1,71,71,59.999999999999986
110,28,0.5790496471185967,49,1,24,25,59.99999999999999
111,39,0.5761543988830038,38,1,22,16,60.0
112,26,0.5732736268885887,51,1,30,21,60.262683754714345
113,-88,0.5704072587541458,165,1,95,70,60.0
114,22,0.567555222460375,55,1,38,17,60.0
115,25,0.5647174463480732,52,1,27,25,60.0
116,31,0.5618938591163328,46,1,27,19,60.0
117,2,0.5590843898207511,75,1,46,29,60.0
118,46,0.5562889678716474,31,1,17,14,60.84353916434263
119,13,0.5535075230322891,64,1,31,33,60.0
120,46,0.5507399854171277,31,1,14,17,62.74016439942457
121,38,0.547986285490042,39,1,25,14,66.45603152620349
122,23,0.5452463540625918,54,1,29,25,61.85414111932309
123,45,0.5425201222922789,32,1,17,15,65.70034610454931
124,-284,0.5398075216808175,300,0,159,141,60.0
125,-34,0.5371084840724134,111,1,59,52,60.0
126,-76,0.5344229416520513,153,1,78,75,60.0
127,-8,0.531750826943791,85,1,41,44,60.0
128,25,0.5290920728090721,52,1,25,27,60.0
129,35,0.5264466124450268,42,1,22,20,60.659890430726875
130,-73,0.5238143793828016,150,1,78,72,60.0
131,26,0.5211953074858876,51,1,26,25,60.0
132,8,0.5185893309484582,69,1,37,32,60.0
133,44,0.5159963842937159,33,1,17,16,60.0
134,-44,0.5134164023722473,121,1,50,71,60.0
135,31,0.510849320360386,46,1,26,20,60.0
136,36,0.5082950737585841,41,1,20,21,60.0
137,-71,0.5057535983897912,148,1,85,63,60.0
